DN	UF	COD_EMB	SIGLA OM	QTDE	
2º	BA	37	AGJUAZEIRO	2	
2º	BA	99	AGJUAZEIRO	37	
2º	BA	13	AGJUAZEIRO	28	
2º	BA	63	AGJUAZEIRO	23	
2º	BA	38	AGJUAZEIRO	9	
2º	BA	41	AGJUAZEIRO	14	
2º	BA	12	AGJUAZEIRO	1	
2º	BA	43	AGJUAZEIRO	9	
9º	AM	48	AGPARINTINS	34	
9º	AM	25	AGPARINTINS	1	
9º	AM	53	AGPARINTINS	7	
9º	AM	26	AGPARINTINS	399	
9º	AM	51	AGPARINTINS	593	
9º	AM	10	AGPARINTINS	147	
9º	AM	28	AGPARINTINS	2	
9º	AM	31	AGPARINTINS	1	
9º	AM	57	AGPARINTINS	26	
9º	AM	33	AGPARINTINS	32	
9º	AM	7	AGPARINTINS	2	
9º	AM	59	AGPARINTINS	6	
9º	AM	103	AGPARINTINS	1	
9º	AM	35	AGPARINTINS	779	
9º	AM	60	AGPARINTINS	39	
9º	AM	108	AGPARINTINS	20	
9º	AM	99	AGPARINTINS	39	
9º	AM	13	AGPARINTINS	605	
9º	AM	63	AGPARINTINS	872	
9º	AM	38	AGPARINTINS	279	
9º	AM	4	AGPARINTINS	5	
9º	AM	41	AGPARINTINS	25	
9º	AM	12	AGPARINTINS	3	
9º	AM	2	AGPARINTINS	7	
9º	AM	106	AGPARINTINS	1	
3º	AL	48	AGPENEDO	14	
3º	AL	25	AGPENEDO	6	
3º	AL	26	AGPENEDO	112	
3º	AL	54	AGPENEDO	1	
3º	AL	51	AGPENEDO	1271	
3º	AL	57	AGPENEDO	2	
3º	AL	32	AGPENEDO	3	
3º	AL	33	AGPENEDO	6	
3º	AL	34	AGPENEDO	59	
3º	AL	105	AGPENEDO	2	
3º	AL	35	AGPENEDO	433	
3º	AL	60	AGPENEDO	1	
3º	AL	108	AGPENEDO	43	
3º	AL	37	AGPENEDO	16	
3º	AL	99	AGPENEDO	2300	
3º	AL	63	AGPENEDO	4	
3º	AL	38	AGPENEDO	132	
3º	AL	41	AGPENEDO	2	
3º	AL	42	AGPENEDO	1	
3º	AL	43	AGPENEDO	34	
6º	MS	48	AGPMURTINHO	10	
6º	MS	25	AGPMURTINHO	2	
6º	MS	53	AGPMURTINHO	1	
6º	MS	26	AGPMURTINHO	5139	
6º	MS	55	AGPMURTINHO	2	
6º	MS	51	AGPMURTINHO	6	
6º	MS	28	AGPMURTINHO	22	
6º	MS	56	AGPMURTINHO	1	
6º	MS	31	AGPMURTINHO	10	
6º	MS	33	AGPMURTINHO	9	
6º	MS	44	AGPMURTINHO	4	
6º	MS	35	AGPMURTINHO	839	
6º	MS	108	AGPMURTINHO	282	
6º	MS	99	AGPMURTINHO	935	
6º	MS	13	AGPMURTINHO	19	
6º	MS	63	AGPMURTINHO	1	
6º	MS	41	AGPMURTINHO	4	
6º	MS	43	AGPMURTINHO	1	
7º	MT	48	AGELIX	92	
7º	MT	25	AGELIX	8	
7º	MT	53	AGELIX	1	
7º	MT	26	AGELIX	254	
7º	MT	51	AGELIX	2556	
7º	MT	10	AGELIX	2	
7º	MT	28	AGELIX	374	
7º	MT	30	AGELIX	1	
7º	MT	31	AGELIX	5	
7º	MT	57	AGELIX	4	
7º	MT	33	AGELIX	36	
7º	MT	44	AGELIX	1	
7º	MT	105	AGELIX	22	
7º	MT	35	AGELIX	588	
7º	MT	108	AGELIX	311	
7º	MT	99	AGELIX	11	
7º	MT	13	AGELIX	9	
7º	MT	63	AGELIX	2	
7º	MT	43	AGELIX	2	
9º	AM	23	AGTEFE	1	
9º	AM	48	AGTEFE	65	
9º	AM	53	AGTEFE	259	
9º	AM	26	AGTEFE	176	
9º	AM	51	AGTEFE	53	
9º	AM	10	AGTEFE	147	
9º	AM	31	AGTEFE	15	
9º	AM	57	AGTEFE	62	
9º	AM	33	AGTEFE	111	
9º	AM	7	AGTEFE	6	
9º	AM	105	AGTEFE	3	
9º	AM	35	AGTEFE	475	
9º	AM	108	AGTEFE	8	
9º	AM	99	AGTEFE	279	
9º	AM	13	AGTEFE	55	
9º	AM	63	AGTEFE	46	
9º	AM	38	AGTEFE	172	
9º	AM	39	AGTEFE	2	
9º	AM	41	AGTEFE	118	
4º	PA	23	CPAOR	2	
4º	PA	109	CPAOR	1	
4º	PA	107	CPAOR	11	
4º	PA	52	CPAOR	2	
4º	PA	48	CPAOR	549	
4º	PA	25	CPAOR	327	
4º	PA	26	CPAOR	18	
4º	PA	27	CPAOR	3	
4º	PA	51	CPAOR	59	
4º	PA	10	CPAOR	1841	
4º	PA	28	CPAOR	23	
4º	PA	56	CPAOR	1	
4º	PA	31	CPAOR	20	
4º	PA	57	CPAOR	149	
4º	PA	32	CPAOR	4	
4º	PA	33	CPAOR	64	
4º	PA	7	CPAOR	17	
4º	PA	44	CPAOR	2	
4º	PA	59	CPAOR	17	
4º	PA	34	CPAOR	1	
4º	PA	105	CPAOR	15	
4º	PA	35	CPAOR	2679	
4º	PA	100	CPAOR	1	
4º	PA	108	CPAOR	1297	
4º	PA	37	CPAOR	2	
4º	PA	99	CPAOR	134	
4º	PA	13	CPAOR	956	
4º	PA	63	CPAOR	3441	
4º	PA	38	CPAOR	5774	
4º	PA	39	CPAOR	4	
4º	PA	4	CPAOR	6	
4º	PA	8	CPAOR	3	
4º	PA	41	CPAOR	479	
4º	PA	9	CPAOR	2	
4º	PA	12	CPAOR	26	
4º	PA	42	CPAOR	2	
4º	PA	106	CPAOR	7	
4º	PA	43	CPAOR	22	
2º	BA	52	CPBA	2	
2º	BA	48	CPBA	97	
2º	BA	25	CPBA	185	
2º	BA	26	CPBA	1209	
2º	BA	27	CPBA	5	
2º	BA	55	CPBA	3	
2º	BA	54	CPBA	3	
2º	BA	51	CPBA	1810	
2º	BA	10	CPBA	2	
2º	BA	28	CPBA	90	
2º	BA	31	CPBA	15	
2º	BA	57	CPBA	6	
2º	BA	32	CPBA	220	
2º	BA	33	CPBA	90	
2º	BA	44	CPBA	1	
2º	BA	59	CPBA	92	
2º	BA	34	CPBA	163	
2º	BA	105	CPBA	17	
2º	BA	103	CPBA	2	
2º	BA	35	CPBA	6392	
2º	BA	60	CPBA	1	
2º	BA	47	CPBA	2	
2º	BA	100	CPBA	1	
2º	BA	108	CPBA	2822	
2º	BA	37	CPBA	47	
2º	BA	99	CPBA	694	
2º	BA	13	CPBA	3	
2º	BA	38	CPBA	52	
2º	BA	39	CPBA	1	
2º	BA	4	CPBA	29	
2º	BA	111	CPBA	1	
2º	BA	18	CPBA	2	
2º	BA	8	CPBA	4	
2º	BA	6	CPBA	1	
2º	BA	110	CPBA	1	
2º	BA	41	CPBA	27	
2º	BA	12	CPBA	12	
2º	BA	42	CPBA	5877	
2º	BA	2	CPBA	2	
2º	BA	46	CPBA	9	
2º	BA	106	CPBA	1	
2º	BA	43	CPBA	758	
3º	PB	48	CPPB	8	
3º	PB	25	CPPB	1	
3º	PB	26	CPPB	832	
3º	PB	27	CPPB	1	
3º	PB	55	CPPB	2	
